#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 06 19 00  77  8.6  9.4 99.00 99.00 99.00 999 1022.3  21.3 999.0 999.0 99.0 99.00
2008 01 06 20 00  85  8.7  9.7 99.00 99.00 99.00 999 1021.7  21.6 999.0 999.0 99.0 99.00
2008 01 06 21 00  90  9.4 10.4 99.00 99.00 99.00 999 1021.4  21.8 999.0 999.0 99.0 99.00
2008 01 06 22 00  93  8.3  9.6 99.00 99.00 99.00 999 1021.4  22.0 999.0 999.0 99.0 99.00
2008 01 06 23 00  95  8.3  9.5 99.00 99.00 99.00 999 1021.5  21.9 999.0 999.0 99.0 99.00
2008 01 07 00 00  95  7.7  8.6 99.00 99.00 99.00 999 1022.1  22.1 999.0 999.0 99.0 99.00
2008 01 07 01 00  93  7.3  8.0 99.00 99.00 99.00 999 1022.7  22.0 999.0 999.0 99.0 99.00
2008 01 07 02 00  94  8.3  8.9 99.00 99.00 99.00 999 1022.9  21.9 999.0 999.0 99.0 99.00
2008 01 07 03 00  95  9.2  9.7 99.00 99.00 99.00 999 1023.0  21.8 999.0 999.0 99.0 99.00
2008 01 07 04 00  99 10.4 10.9 99.00 99.00 99.00 999 1022.9  22.2 999.0 999.0 99.0 99.00
2008 01 07 05 00  83  9.0  9.9 99.00 99.00 99.00 999 1022.8  21.7 999.0 999.0 99.0 99.00
2008 01 07 06 00  85  9.7 10.6 99.00 99.00 99.00 999 1022.5  21.2 999.0 999.0 99.0 99.00
2008 01 07 07 00  79  9.6 10.3 99.00 99.00 99.00 999 1022.3  21.3 999.0 999.0 99.0 99.00
2008 01 07 08 00  72  9.4 10.2 99.00 99.00 99.00 999 1021.9  21.3 999.0 999.0 99.0 99.00
2008 01 07 09 00  75  8.8  9.6 99.00 99.00 99.00 999 1021.5  21.2 999.0 999.0 99.0 99.00
2008 01 07 10 00  78  8.0  9.2 99.00 99.00 99.00 999 1021.4  21.3 999.0 999.0 99.0 99.00
2008 01 07 11 00  76  8.8 10.1 99.00 99.00 99.00 999 1021.8  21.4 999.0 999.0 99.0 99.00
2008 01 07 12 00  69  8.8  9.6 99.00 99.00 99.00 999 1022.2  21.2 999.0 999.0 99.0 99.00
2008 01 07 13 00  80  9.4 10.4 99.00 99.00 99.00 999 1022.8  22.0 999.0 999.0 99.0 99.00
2008 01 07 14 00  83  8.9  9.5 99.00 99.00 99.00 999 1023.3  22.0 999.0 999.0 99.0 99.00
2008 01 07 15 00  83 10.2 11.3 99.00 99.00 99.00 999 1023.6  21.9 999.0 999.0 99.0 99.00
2008 01 07 16 00  82  9.4 10.1 99.00 99.00 99.00 999 1023.9  21.9 999.0 999.0 99.0 99.00
2008 01 07 17 00  88  8.9  9.8 99.00 99.00 99.00 999 1023.5  22.0 999.0 999.0 99.0 99.00
2008 01 07 18 00  87  9.1  9.9 99.00 99.00 99.00 999 1022.3  22.3 999.0 999.0 99.0 99.00
2008 01 07 19 00  85  7.8  8.8 99.00 99.00 99.00 999 1021.5  22.3 999.0 999.0 99.0 99.00
2008 01 07 20 00  92  8.9  9.8 99.00 99.00 99.00 999 1021.1  22.5 999.0 999.0 99.0 99.00
2008 01 07 21 00  90  8.9  9.5 99.00 99.00 99.00 999 1020.9  22.5 999.0 999.0 99.0 99.00
